reference_driver_code,comparison_driver_code,team,year,race_name,session_name,session_kind,matched_gap_median_s,matched_gap_se_s,n_matched_pairs,weather_bucket,skip_reason
BOT,PER,Cadillac,2026,Japanese Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
ALB,SAI,Williams,2026,Miami Grand Prix,Race,race,-0.23499999999999943,0.03980444629339392,37,dry,
ALO,STR,Aston Martin,2026,Miami Grand Prix,Race,race,0.18700000000000472,0.1670865097861369,20,dry,
ANT,RUS,Mercedes,2026,Miami Grand Prix,Race,race,0.8889999999999958,0.10735812409429034,32,dry,
BEA,OCO,Haas F1 Team,2026,Miami Grand Prix,Race,race,0.125,0.049842603960849025,32,dry,
BOT,PER,Cadillac,2026,Miami Grand Prix,Race,race,-1.153499999999994,0.2647852608541047,10,dry,
HAM,LEC,Ferrari,2026,Miami Grand Prix,Race,race,-0.3579999999999899,0.10829165857342317,29,dry,
NOR,PIA,McLaren,2026,Miami Grand Prix,Race,race,0.3289999999999935,0.13891764660290146,35,dry,
COL,GAS,Alpine,2026,Miami Grand Prix,Race,race,,,0,,insufficient_matched_pairs
BOR,HUL,Audi,2026,Miami Grand Prix,Race,race,,,0,,insufficient_matched_pairs
LAW,LIN,Racing Bulls,2026,Miami Grand Prix,Race,race,,,0,,insufficient_matched_pairs
HAD,VER,Red Bull Racing,2026,Miami Grand Prix,Race,race,,,0,,insufficient_matched_pairs
ALB,SAI,Williams,2026,Miami Grand Prix,Qualifying,qualifying,0.2924999999999969,0.6485843378594516,4,dry,
ANT,RUS,Mercedes,2026,Miami Grand Prix,Qualifying,qualifying,0.3990000000000009,0.15147078461856917,3,dry,
BEA,OCO,Haas F1 Team,2026,Miami Grand Prix,Qualifying,qualifying,0.3925000000000054,0.2664899224526954,4,dry,
COL,GAS,Alpine,2026,Miami Grand Prix,Qualifying,qualifying,0.18600000000000705,0.10522645966709894,3,dry,
HAD,VER,Red Bull Racing,2026,Miami Grand Prix,Qualifying,qualifying,-0.8755000000000024,0.35864272335442055,4,dry,
HAM,LEC,Ferrari,2026,Miami Grand Prix,Qualifying,qualifying,-0.17450000000000188,0.1283867733123542,4,dry,
NOR,PIA,McLaren,2026,Miami Grand Prix,Qualifying,qualifying,-0.08250000000000313,0.23881476041633926,4,dry,
ALO,STR,Aston Martin,2026,Miami Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
BOR,HUL,Audi,2026,Miami Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
BOT,PER,Cadillac,2026,Miami Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
LAW,LIN,Racing Bulls,2026,Miami Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
