check_id,year,race_name,faster_driver,slower_driver,pair_present,target_weather_bucket,common_segments,valid_common_segments,chosen_segments,current_construct_n_pairs,current_construct_delta_s,highest_common_segment,highest_common_best_delta_s,any_valid_best_delta_s,phase5_row_present,phase5_delta_s,phase5_n_matched_pairs,phase5_skip_reason
verstappen_perez_quali_2022,2022,Abu Dhabi Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.2780000000000058,Q3,0.22800000000000864,0.22800000000000864,True,0.2780000000000058,4,
verstappen_perez_quali_2023,2023,Bahrain Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.23399999999999466,Q3,0.13800000000000523,0.13800000000000523,True,0.2339999999999946,3,
albon_sargeant_quali_2023,2023,Bahrain Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2']",['Q1'],['Q1'],2,,Q1,0.1910000000000025,0.1910000000000025,False,,0,
verstappen_perez_quali_2023,2023,Saudi Arabian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']",['Q1'],['Q1'],1,,Q1,0.4830000000000041,-0.4959999999999951,False,,0,
albon_sargeant_quali_2023,2023,Saudi Arabian Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],1,,Q1,-0.27299999999999613,-0.27299999999999613,False,,0,
verstappen_perez_quali_2023,2023,Australian Grand Prix,VER,PER,True,dry,['Q1'],[],[],0,,,,,False,,0,
albon_sargeant_quali_2023,2023,Australian Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2']",['Q1'],['Q1'],3,0.4140000000000015,Q1,0.5949999999999989,0.9480000000000075,True,0.4140000000000015,3,
verstappen_perez_quali_2023,2023,Azerbaijan Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.1039999999999992,Q3,0.1039999999999992,0.1039999999999992,True,0.1039999999999992,3,
albon_sargeant_quali_2023,2023,Azerbaijan Grand Prix,ALB,SAR,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']",['Q2'],3,0.5259999999999962,Q2,0.5769999999999982,0.4240000000000066,True,0.5259999999999962,3,
verstappen_perez_quali_2023,2023,Miami Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",4,0.2839999999999989,Q2,0.51400000000001,0.51400000000001,True,0.2839999999999989,4,
albon_sargeant_quali_2023,2023,Miami Grand Prix,ALB,SAR,True,dry,['Q1'],['Q1'],['Q1'],3,-0.5629999999999882,Q1,0.3430000000000035,0.7819999999999965,True,-0.5629999999999882,3,
