check_id,year,team,race_name,faster_driver,slower_driver,pair_present,target_weather_bucket,current_construct_n_pairs,current_construct_delta_s,valid_reference_laps,valid_comparison_laps,broad_valid_median_delta_s,broad_valid_mean_delta_s,phase5_row_present,phase5_delta_s,phase5_n_matched_pairs,phase5_skip_reason
alonso_stroll_race_2023,2023,Aston Martin,Spanish Grand Prix,ALO,STR,True,dry,36,0.05749999999999744,54,52,-0.3044999999999902,-0.07675000000000409,True,0.0574999999999974,36,
albon_sargeant_race_2023,2023,Williams,Spanish Grand Prix,ALB,SAR,True,dry,29,0.05100000000000193,55,49,-0.08200000000000784,0.18252690166976038,True,0.0510000000000019,29,
verstappen_perez_race_2023,2023,Red Bull Racing,Canadian Grand Prix,VER,PER,True,dry,31,0.5259999999999962,51,46,0.11899999999999977,0.5018375959079293,True,0.5259999999999962,31,
alonso_stroll_race_2023,2023,Aston Martin,Canadian Grand Prix,ALO,STR,True,dry,39,1.070999999999998,51,52,0.659000000000006,0.8921440422322746,True,1.070999999999998,39,
albon_sargeant_race_2023,2023,Williams,Canadian Grand Prix,ALB,SAR,True,dry,4,,51,4,1.44850000000001,1.259093137254908,False,,0,
verstappen_perez_race_2023,2023,Red Bull Racing,Austrian Grand Prix,VER,PER,True,dry,45,0.43300000000000693,54,54,0.030000000000001137,0.4467592592592524,True,0.4330000000000069,45,
alonso_stroll_race_2023,2023,Aston Martin,Austrian Grand Prix,ALO,STR,True,dry,29,-0.5859999999999985,56,52,-0.48150000000001114,-0.09581318681318862,True,-0.5859999999999985,29,
albon_sargeant_race_2023,2023,Williams,Austrian Grand Prix,ALB,SAR,True,dry,50,0.28249999999999886,55,56,0.2400000000000091,0.3149201298701172,True,0.2824999999999988,50,
verstappen_perez_race_2023,2023,Red Bull Racing,British Grand Prix,VER,PER,True,dry,29,0.6440000000000055,42,37,0.7309999999999945,0.5985521235521105,True,0.6440000000000055,29,
alonso_stroll_race_2023,2023,Aston Martin,British Grand Prix,ALO,STR,True,dry,33,0.33899999999999864,38,38,0.4720000000000084,0.36413157894737935,True,0.3389999999999986,33,
albon_sargeant_race_2023,2023,Williams,British Grand Prix,ALB,SAR,True,dry,31,0.18600000000000705,41,35,0.3329999999999984,0.24252195121951559,True,0.186000000000007,31,
verstappen_perez_race_2023,2023,Red Bull Racing,Hungarian Grand Prix,VER,PER,True,dry,47,0.637999999999991,58,54,-0.103999999999985,0.4069629629629503,True,0.637999999999991,47,
alonso_stroll_race_2023,2023,Aston Martin,Hungarian Grand Prix,ALO,STR,True,dry,39,0.6920000000000073,57,57,-0.034000000000006025,0.3089122807017617,True,0.6920000000000073,39,
albon_sargeant_race_2023,2023,Williams,Hungarian Grand Prix,ALB,SAR,True,dry,47,0.12199999999999989,56,55,0.37299999999999045,0.24333928571429908,True,0.1219999999999998,47,
verstappen_perez_race_2023,2023,Red Bull Racing,Belgian Grand Prix,VER,PER,True,dry,27,0.5670000000000073,30,29,0.22750000000000625,0.5374517241379237,True,0.5670000000000073,27,
alonso_stroll_race_2023,2023,Aston Martin,Belgian Grand Prix,ALO,STR,True,dry,19,0.9240000000000066,30,33,0.541000000000011,1.0716878787878699,True,0.9240000000000066,19,
albon_sargeant_race_2023,2023,Williams,Belgian Grand Prix,ALB,SAR,True,dry,26,0.054500000000004434,29,28,-0.2545000000000073,0.13281527093597845,True,0.0545000000000044,26,
verstappen_perez_race_2023,2023,Red Bull Racing,Dutch Grand Prix,VER,PER,True,dry,33,0.39000000000000057,43,39,0.24099999999999966,0.3737644603458534,True,0.3900000000000005,33,
alonso_stroll_race_2023,2023,Aston Martin,Dutch Grand Prix,ALO,STR,True,dry,23,0.2879999999999967,39,36,0.05700000000000216,0.5250021367521356,True,0.2879999999999967,23,
albon_sargeant_race_2023,2023,Williams,Dutch Grand Prix,ALB,SAR,True,dry,5,,41,6,10.841000000000008,11.08223577235772,False,,0,
verstappen_perez_race_2023,2023,Red Bull Racing,Italian Grand Prix,VER,PER,True,dry,38,0.1495000000000033,43,41,0.22700000000000387,0.20348326715826204,True,0.1495000000000033,38,
alonso_stroll_race_2023,2023,Aston Martin,Italian Grand Prix,ALO,STR,True,dry,41,0.45000000000000284,43,42,0.3704999999999927,0.4949108527131756,True,0.4500000000000028,41,
albon_sargeant_race_2023,2023,Williams,Italian Grand Prix,ALB,SAR,True,dry,41,0.47400000000000375,41,44,0.4480000000000075,0.4926175166297071,True,0.4740000000000037,41,
verstappen_perez_race_2023,2023,Red Bull Racing,Singapore Grand Prix,VER,PER,True,dry,34,0.34149999999999636,41,37,0.23000000000000398,0.5098747528015792,True,0.3414999999999963,34,
alonso_stroll_race_2023,2023,Aston Martin,Singapore Grand Prix,ALO,STR,False,dry,0,,0,0,,,False,,0,
albon_sargeant_race_2023,2023,Williams,Singapore Grand Prix,ALB,SAR,True,dry,37,0.09600000000000364,42,42,-0.9070000000000107,-0.42371428571429703,True,0.0960000000000036,37,
verstappen_perez_race_2023,2023,Red Bull Racing,Japanese Grand Prix,VER,PER,True,dry,7,,41,7,2.8669999999999902,3.175829268292688,False,,0,
alonso_stroll_race_2023,2023,Aston Martin,Japanese Grand Prix,ALO,STR,True,dry,6,,42,10,1.4159999999999968,1.099642857142868,False,,0,
albon_sargeant_race_2023,2023,Williams,Japanese Grand Prix,ALB,SAR,True,dry,4,,18,11,0.25549999999999784,0.05359595959596675,False,,0,
verstappen_perez_race_2023,2023,Red Bull Racing,Qatar Grand Prix,VER,PER,True,dry,30,-0.2635000000000076,40,38,0.060000000000002274,0.9065289473684146,True,-0.2635000000000076,30,
alonso_stroll_race_2023,2023,Aston Martin,Qatar Grand Prix,ALO,STR,True,dry,27,0.8780000000000001,36,38,0.7135000000000105,0.915084795321647,True,0.8780000000000001,27,
albon_sargeant_race_2023,2023,Williams,Qatar Grand Prix,ALB,SAR,True,dry,22,1.0154999999999959,37,25,1.6610000000000014,1.2178897297297198,True,1.015499999999996,22,
verstappen_perez_race_2023,2023,Red Bull Racing,United States Grand Prix,VER,PER,True,dry,41,0.3289999999999935,44,45,0.05649999999999977,0.20977929292928366,True,0.3289999999999935,41,
alonso_stroll_race_2023,2023,Aston Martin,United States Grand Prix,ALO,STR,True,dry,27,-1.531000000000006,37,45,-0.2750000000000057,-0.31363123123124126,True,-1.531000000000006,27,
albon_sargeant_race_2023,2023,Williams,United States Grand Prix,ALB,SAR,True,dry,39,-0.06699999999999307,43,44,-0.012500000000017053,0.025430232558136368,True,-0.066999999999993,39,
verstappen_perez_race_2023,2023,Red Bull Racing,Mexico City Grand Prix,VER,PER,True,dry,0,,58,0,,,False,,0,
alonso_stroll_race_2023,2023,Aston Martin,Mexico City Grand Prix,ALO,STR,True,dry,29,-0.277000000000001,31,51,-0.5630000000000024,-0.4661562302340201,True,-0.277000000000001,29,
albon_sargeant_race_2023,2023,Williams,Mexico City Grand Prix,ALB,SAR,True,dry,35,0.9780000000000086,57,53,0.021000000000000796,0.14390201919893286,True,0.9780000000000086,35,
verstappen_perez_race_2023,2023,Red Bull Racing,São Paulo Grand Prix,VER,PER,True,dry,53,0.7169999999999987,59,59,0.4059999999999917,0.4073559322033873,True,0.7169999999999987,53,
alonso_stroll_race_2023,2023,Aston Martin,São Paulo Grand Prix,ALO,STR,True,dry,49,0.055999999999997385,57,57,0.0,0.09964912280702265,True,0.0559999999999973,49,
albon_sargeant_race_2023,2023,Williams,São Paulo Grand Prix,ALB,SAR,True,dry,0,,0,57,,,False,,0,
verstappen_perez_race_2023,2023,Red Bull Racing,Las Vegas Grand Prix,VER,PER,True,dry,17,0.46699999999999875,30,28,0.09299999999998931,0.04867619047620053,True,0.4669999999999987,17,
alonso_stroll_race_2023,2023,Aston Martin,Las Vegas Grand Prix,ALO,STR,True,dry,25,-0.5769999999999982,31,29,-0.40399999999999636,-0.6083859844271302,True,-0.5769999999999982,25,
albon_sargeant_race_2023,2023,Williams,Las Vegas Grand Prix,ALB,SAR,True,dry,24,0.07400000000000517,30,29,-0.008000000000009777,0.0816356321839038,True,0.0740000000000051,24,
verstappen_perez_race_2023,2023,Red Bull Racing,Abu Dhabi Grand Prix,VER,PER,True,dry,43,0.17900000000000205,48,48,0.17249999999999943,0.30733333333333235,True,0.179000000000002,43,
alonso_stroll_race_2023,2023,Aston Martin,Abu Dhabi Grand Prix,ALO,STR,True,dry,40,0.7420000000000044,48,47,0.15550000000000352,0.31995212765957604,True,0.7420000000000044,40,
albon_sargeant_race_2023,2023,Williams,Abu Dhabi Grand Prix,ALB,SAR,True,dry,44,0.17099999999999937,51,46,0.16149999999998954,0.10763427109974089,True,0.1709999999999993,44,
verstappen_perez_race_2024,2024,Red Bull Racing,Bahrain Grand Prix,VER,PER,True,dry,38,0.4615000000000009,46,45,0.8880000000000052,0.43373623188405475,True,0.4615000000000009,38,
alonso_stroll_race_2024,2024,Aston Martin,Bahrain Grand Prix,ALO,STR,True,dry,38,0.7084999999999937,44,47,-0.4200000000000017,0.32358220502901247,True,0.7084999999999937,38,
albon_sargeant_race_2024,2024,Williams,Bahrain Grand Prix,ALB,SAR,True,dry,32,-0.061499999999995225,44,40,-0.9364999999999952,-0.3031272727272807,True,-0.0614999999999952,32,
verstappen_perez_race_2024,2024,Red Bull Racing,Saudi Arabian Grand Prix,VER,PER,True,dry,39,0.12999999999999545,43,39,-0.0030000000000001137,0.04248062015503251,True,0.1299999999999954,39,
alonso_stroll_race_2024,2024,Aston Martin,Saudi Arabian Grand Prix,ALO,STR,True,dry,3,,42,3,2.0589999999999975,2.0496904761904773,False,,0,
albon_sargeant_race_2024,2024,Williams,Saudi Arabian Grand Prix,ALB,SAR,True,dry,41,0.26200000000000045,42,41,0.11149999999999238,0.34255458768873837,True,0.2620000000000004,41,
verstappen_perez_race_2024,2024,Red Bull Racing,Australian Grand Prix,VER,PER,True,dry,2,,2,45,-1.8960000000000008,-1.7509111111111082,False,,0,
alonso_stroll_race_2024,2024,Aston Martin,Australian Grand Prix,ALO,STR,True,dry,27,0.16600000000001103,47,44,0.33100000000000307,0.21553384912958506,True,0.166000000000011,27,
albon_sargeant_race_2024,2024,Williams,Australian Grand Prix,ALB,SAR,False,dry,0,,0,0,,,False,,0,
verstappen_perez_race_2024,2024,Red Bull Racing,Japanese Grand Prix,VER,PER,True,dry,38,0.36650000000000205,42,42,0.15099999999999625,0.24278571428570217,True,0.366500000000002,38,
alonso_stroll_race_2024,2024,Aston Martin,Japanese Grand Prix,ALO,STR,True,dry,25,1.1039999999999992,44,37,-0.007999999999995566,0.6003832923832988,True,1.1039999999999992,25,
albon_sargeant_race_2024,2024,Williams,Japanese Grand Prix,ALB,SAR,True,dry,0,,0,42,,,False,,0,
verstappen_perez_race_2024,2024,Red Bull Racing,Chinese Grand Prix,VER,PER,True,dry,37,0.570999999999998,41,37,0.5189999999999912,0.5821166776532607,True,0.570999999999998,37,
alonso_stroll_race_2024,2024,Aston Martin,Chinese Grand Prix,ALO,STR,True,dry,17,-1.1060000000000088,37,35,0.6430000000000007,0.580755984555978,True,-1.1060000000000088,17,
albon_sargeant_race_2024,2024,Williams,Chinese Grand Prix,ALB,SAR,True,dry,27,0.6039999999999992,37,37,0.730000000000004,0.41451351351351207,True,0.6039999999999992,27,
verstappen_perez_race_2024,2024,Red Bull Racing,Miami Grand Prix,VER,PER,True,dry,19,0.2009999999999934,42,41,0.5840000000000032,0.2087572590011746,True,0.2009999999999934,19,
alonso_stroll_race_2024,2024,Aston Martin,Miami Grand Prix,ALO,STR,True,dry,28,-0.3860000000000028,42,41,0.2600000000000051,-0.04477177700348989,True,-0.3860000000000028,28,
albon_sargeant_race_2024,2024,Williams,Miami Grand Prix,ALB,SAR,True,dry,15,0.04399999999999693,39,19,0.3030000000000115,0.5790607287449347,True,0.0439999999999969,15,
verstappen_perez_race_2024,2024,Red Bull Racing,Emilia Romagna Grand Prix,VER,PER,True,dry,48,1.2600000000000051,55,54,1.134999999999991,0.6872225589225707,True,1.2600000000000051,48,
alonso_stroll_race_2024,2024,Aston Martin,Emilia Romagna Grand Prix,ALO,STR,True,dry,34,-0.8885000000000076,48,54,-0.21399999999999864,-0.2559375000000017,True,-0.8885000000000076,34,
albon_sargeant_race_2024,2024,Williams,Emilia Romagna Grand Prix,ALB,SAR,True,dry,18,0.142000000000003,38,50,1.1554999999999893,0.7398600000000073,True,0.142000000000003,18,
verstappen_perez_race_2024,2024,Red Bull Racing,Monaco Grand Prix,VER,PER,True,dry,0,,66,0,,,False,,0,
alonso_stroll_race_2024,2024,Aston Martin,Monaco Grand Prix,ALO,STR,True,dry,35,-0.26900000000000546,67,62,-0.9279999999999973,-0.5258870967741984,True,-0.2690000000000054,35,
albon_sargeant_race_2024,2024,Williams,Monaco Grand Prix,ALB,SAR,True,dry,45,0.6280000000000001,67,61,0.7650000000000006,0.2111355517494502,True,0.6280000000000001,45,
verstappen_perez_race_2024,2024,Red Bull Racing,Canadian Grand Prix,VER,PER,True,dry,20,1.6515000000000057,34,24,1.6724999999999852,3.3761225490195983,True,1.6515000000000055,20,
alonso_stroll_race_2024,2024,Aston Martin,Canadian Grand Prix,ALO,STR,True,dry,33,0.5649999999999977,34,33,0.8234999999999957,0.6639554367201441,True,0.5649999999999977,33,
albon_sargeant_race_2024,2024,Williams,Canadian Grand Prix,ALB,SAR,True,dry,14,0.5829999999999984,25,14,2.4335000000000093,2.114982857142863,True,0.5829999999999984,14,
verstappen_perez_race_2024,2024,Red Bull Racing,Spanish Grand Prix,VER,PER,True,dry,43,0.43899999999999295,53,54,-0.20949999999999136,0.45172152341018545,True,0.4389999999999929,43,
alonso_stroll_race_2024,2024,Aston Martin,Spanish Grand Prix,ALO,STR,True,dry,41,0.1799999999999926,52,53,0.06199999999999761,0.14659941944844945,True,0.1799999999999926,41,
albon_sargeant_race_2024,2024,Williams,Spanish Grand Prix,ALB,SAR,True,dry,21,0.3410000000000082,53,54,0.5244999999999891,0.6146726065688171,True,0.3410000000000082,21,
verstappen_perez_race_2024,2024,Red Bull Racing,Austrian Grand Prix,VER,PER,True,dry,48,0.9634999999999962,54,58,0.9405000000000143,1.0442043422733036,True,0.9634999999999962,48,
alonso_stroll_race_2024,2024,Aston Martin,Austrian Grand Prix,ALO,STR,True,dry,44,-0.0764999999999958,50,53,-0.025500000000008072,-0.05341811320754175,True,-0.0764999999999958,44,
albon_sargeant_race_2024,2024,Williams,Austrian Grand Prix,ALB,SAR,True,dry,31,0.2710000000000008,54,54,0.5384999999999991,0.42433333333332257,True,0.2710000000000008,31,
verstappen_perez_race_2024,2024,Red Bull Racing,British Grand Prix,VER,PER,True,dry,13,3.0060000000000002,25,19,0.75,1.3139010526315786,True,3.006,13,
alonso_stroll_race_2024,2024,Aston Martin,British Grand Prix,ALO,STR,True,dry,22,-0.03050000000001063,25,24,-0.00549999999999784,0.018090000000000828,True,-0.0305000000000106,22,
albon_sargeant_race_2024,2024,Williams,British Grand Prix,ALB,SAR,True,dry,16,0.07750000000000057,24,26,-0.006500000000002615,0.27549358974357574,True,0.0775000000000005,16,
verstappen_perez_race_2024,2024,Red Bull Racing,Hungarian Grand Prix,VER,PER,True,dry,47,-0.31699999999999307,59,54,-0.4369999999999976,0.06614375392342708,True,-0.316999999999993,47,
alonso_stroll_race_2024,2024,Aston Martin,Hungarian Grand Prix,ALO,STR,True,dry,43,-0.14299999999998647,56,55,0.22450000000000614,-0.1738269480519392,True,-0.1429999999999864,43,
albon_sargeant_race_2024,2024,Williams,Hungarian Grand Prix,ALB,SAR,True,dry,48,0.059499999999999886,59,55,0.20900000000000318,-0.0458298921417537,True,0.0594999999999998,48,
verstappen_perez_race_2024,2024,Red Bull Racing,Belgian Grand Prix,VER,PER,True,dry,25,-0.15800000000000125,33,31,0.29599999999999227,0.4458123167155321,True,-0.1580000000000012,25,
alonso_stroll_race_2024,2024,Aston Martin,Belgian Grand Prix,ALO,STR,True,dry,32,0.4269999999999925,34,37,0.4134999999999991,0.37037360890300874,True,0.4269999999999925,32,
albon_sargeant_race_2024,2024,Williams,Belgian Grand Prix,ALB,SAR,True,dry,32,0.21750000000000114,36,34,0.09800000000001319,0.2453578431372705,True,0.2175000000000011,32,
verstappen_perez_race_2024,2024,Red Bull Racing,Dutch Grand Prix,VER,PER,True,dry,56,0.06299999999999528,64,61,0.11450000000000671,0.09671516393443369,True,0.0629999999999952,56,
alonso_stroll_race_2024,2024,Aston Martin,Dutch Grand Prix,ALO,STR,True,dry,54,0.1454999999999984,60,61,-0.180499999999995,0.1322830601093017,True,0.1454999999999984,54,
albon_sargeant_race_2024,2024,Williams,Dutch Grand Prix,ALB,SAR,True,dry,45,0.2669999999999959,59,59,0.3400000000000034,0.52728813559321,True,0.2669999999999959,45,
verstappen_perez_race_2024,2024,Red Bull Racing,Italian Grand Prix,VER,PER,True,dry,34,0.16900000000001114,43,43,0.4819999999999993,0.30386046511627285,True,0.1690000000000111,34,
alonso_stroll_race_2024,2024,Aston Martin,Italian Grand Prix,ALO,STR,True,dry,35,0.9579999999999984,44,38,0.055999999999997385,0.4764114832535853,True,0.9579999999999984,35,
albon_sargeant_race_2024,2024,Williams,Italian Grand Prix,ALB,SAR,False,dry,0,,0,0,,,False,,0,
verstappen_perez_race_2024,2024,Red Bull Racing,Azerbaijan Grand Prix,VER,PER,True,dry,34,-0.3510000000000062,40,40,-0.5970000000000084,-0.3216500000000053,True,-0.3510000000000062,34,
alonso_stroll_race_2024,2024,Aston Martin,Azerbaijan Grand Prix,ALO,STR,True,dry,20,0.8104999999999976,43,34,0.36599999999999966,0.6694398084815276,True,0.8104999999999976,20,
albon_sargeant_race_2024,2024,Williams,Azerbaijan Grand Prix,ALB,SAR,False,dry,0,,0,0,,,False,,0,
verstappen_perez_race_2024,2024,Red Bull Racing,Singapore Grand Prix,VER,PER,True,dry,49,1.2579999999999956,53,52,1.3979999999999961,1.327917997097245,True,1.2579999999999956,49,
alonso_stroll_race_2024,2024,Aston Martin,Singapore Grand Prix,ALO,STR,True,dry,36,0.990000000000002,51,50,0.4340000000000117,0.5947207843137363,True,0.990000000000002,36,
albon_sargeant_race_2024,2024,Williams,Singapore Grand Prix,ALB,SAR,False,dry,0,,0,0,,,False,,0,
verstappen_perez_race_2024,2024,Red Bull Racing,United States Grand Prix,VER,PER,True,dry,36,0.6379999999999981,44,41,0.6170000000000044,0.7213741685144157,True,0.6379999999999981,36,
alonso_stroll_race_2024,2024,Aston Martin,United States Grand Prix,ALO,STR,True,dry,30,1.5895000000000081,40,41,0.001999999999995339,0.31136463414634363,True,1.589500000000008,30,
albon_sargeant_race_2024,2024,Williams,United States Grand Prix,ALB,SAR,False,dry,0,,0,0,,,False,,0,
verstappen_perez_race_2024,2024,Red Bull Racing,Mexico City Grand Prix,VER,PER,True,dry,24,1.336500000000008,54,54,1.0960000000000036,0.9368333333333254,True,1.336500000000008,24,
