year,race_name,team,profile,practice_signal,n_sessions
2022,Canadian Grand Prix,Alpine,balanced,0.45481481481481484,2
2022,Canadian Grand Prix,Alpine,long_run,0.7170370370370373,2
2022,Canadian Grand Prix,Alpine,short_run,0.5762962962962963,2
2022,Canadian Grand Prix,Aston Martin,balanced,0.6666666666666669,2
2022,Canadian Grand Prix,Aston Martin,long_run,0.5748148148148148,2
2022,Canadian Grand Prix,Aston Martin,short_run,0.29333333333333333,2
2022,Canadian Grand Prix,Ferrari,balanced,0.7481481481481481,2
2022,Canadian Grand Prix,Ferrari,long_run,0.7481481481481481,2
2022,Canadian Grand Prix,Ferrari,short_run,1.0,2
2022,Canadian Grand Prix,Haas F1 Team,balanced,0.31259259259259264,2
2022,Canadian Grand Prix,Haas F1 Team,long_run,0.8888888888888888,2
2022,Canadian Grand Prix,Haas F1 Team,short_run,0.282962962962963,2
2022,Canadian Grand Prix,McLaren,balanced,0.3525925925925926,2
2022,Canadian Grand Prix,McLaren,long_run,0.4948148148148148,2
2022,Canadian Grand Prix,McLaren,short_run,0.3525925925925926,2
2022,Canadian Grand Prix,Mercedes,balanced,0.9392592592592592,2
2022,Canadian Grand Prix,Mercedes,long_run,0.3037037037037037,2
2022,Canadian Grand Prix,Mercedes,short_run,0.5051851851851852,2
2022,Canadian Grand Prix,Red Bull Racing,balanced,0.3437037037037037,2
2022,Canadian Grand Prix,Red Bull Racing,long_run,0.5762962962962963,2
2022,Canadian Grand Prix,Red Bull Racing,short_run,0.8888888888888888,2
2022,Canadian Grand Prix,Williams,balanced,0.23259259259259266,2
2022,Canadian Grand Prix,Williams,long_run,0.0503703703703704,2
2022,Canadian Grand Prix,Williams,short_run,0.362962962962963,2
2022,Dutch Grand Prix,Alfa Romeo,balanced,0.4,3
2022,Dutch Grand Prix,Alfa Romeo,long_run,0.5795555555555556,3
2022,Dutch Grand Prix,Alfa Romeo,short_run,0.24444444444444452,3
2022,Dutch Grand Prix,AlphaTauri,balanced,0.744,3
2022,Dutch Grand Prix,AlphaTauri,long_run,0.776,3
2022,Dutch Grand Prix,AlphaTauri,short_run,0.4471111111111111,3
2022,Dutch Grand Prix,Alpine,balanced,0.4640000000000001,3
2022,Dutch Grand Prix,Alpine,long_run,0.2382222222222222,3
2022,Dutch Grand Prix,Alpine,short_run,0.5084444444444445,3
2022,Dutch Grand Prix,Aston Martin,balanced,0.7697777777777779,3
2022,Dutch Grand Prix,Aston Martin,long_run,0.6808888888888889,3
2022,Dutch Grand Prix,Aston Martin,short_run,0.6142222222222222,3
2022,Dutch Grand Prix,Ferrari,balanced,0.7475555555555555,3
2022,Dutch Grand Prix,Ferrari,long_run,0.8524444444444444,3
2022,Dutch Grand Prix,Ferrari,short_run,0.5920000000000001,3
2022,Dutch Grand Prix,Haas F1 Team,balanced,0.47911111111111115,3
2022,Dutch Grand Prix,Haas F1 Team,long_run,0.5822222222222222,3
2022,Dutch Grand Prix,Haas F1 Team,short_run,0.49066666666666664,3
2022,Dutch Grand Prix,McLaren,balanced,0.32088888888888895,3
2022,Dutch Grand Prix,McLaren,long_run,0.3191111111111111,3
2022,Dutch Grand Prix,McLaren,short_run,0.43644444444444447,3
2022,Dutch Grand Prix,Mercedes,balanced,0.42666666666666664,3
2022,Dutch Grand Prix,Mercedes,long_run,0.6968888888888889,3
2022,Dutch Grand Prix,Mercedes,short_run,0.5297777777777777,3
2022,Dutch Grand Prix,Red Bull Racing,balanced,0.4862222222222222,3
2022,Dutch Grand Prix,Red Bull Racing,long_run,0.12711111111111112,3
2022,Dutch Grand Prix,Red Bull Racing,short_run,0.7084444444444445,3
2022,Dutch Grand Prix,Williams,balanced,0.16177777777777774,3
2022,Dutch Grand Prix,Williams,long_run,0.14755555555555558,3
2022,Dutch Grand Prix,Williams,short_run,0.42844444444444446,3
2022,French Grand Prix,Alfa Romeo,balanced,0.5742222222222222,3
2022,French Grand Prix,Alfa Romeo,long_run,0.687111111111111,3
2022,French Grand Prix,Alfa Romeo,short_run,0.3191111111111111,3
2022,French Grand Prix,AlphaTauri,balanced,0.6248888888888888,3
2022,French Grand Prix,AlphaTauri,long_run,0.647111111111111,3
2022,French Grand Prix,AlphaTauri,short_run,0.6248888888888888,3
